iter	Passed	Remaining
399	31978	47967
400	32052	47879
401	32128	47792
402	32213	47721
403	32270	47606
404	32329	47496
405	32408	47415
406	32461	47296
407	32555	47237
408	32630	47150
409	32711	47072
410	32795	46999
411	32878	46924
412	32961	46848
413	33045	46774
414	33128	46698
415	33214	46627
416	33301	46557
417	33372	46466
418	33454	46389
419	33544	46323
420	33618	46234
421	33685	46137
422	33758	46048
423	33839	45969
424	33913	45882
425	33986	45793
426	34069	45718
427	34136	45621
428	34198	45517
429	34291	45455
430	34363	45366
431	34436	45277
432	34536	45224
433	34616	45144
434	34693	45061
435	34766	44972
436	34851	44899
437	34952	44848
438	35035	44772
439	35130	44712
440	35210	44632
441	35299	44563
442	35390	44498
443	35456	44400
444	35538	44322
445	35604	44226
446	35681	44142
447	35752	44052
448	35831	43971
449	35893	43869
450	35958	43772
451	36045	43700
452	36116	43610
453	36202	43539
454	36283	43459
455	36340	43353
456	36410	43262
457	36470	43159
458	36528	43054
459	36606	42972
460	36662	42865
461	36758	42805
462	36837	42724
463	36907	42634
464	36985	42552
465	37063	42471
466	37144	42393
467	37230	42321
468	37305	42237
469	37389	42162
470	37480	42095
471	37553	42009
472	37620	41915
473	37693	41828
474	37754	41729
475	37828	41643
476	37906	41561
477	37962	41456
478	38057	41395
479	38134	41312
480	38211	41230
481	38291	41151
482	38361	41062
483	38428	40969
484	38493	40875
485	38578	40800
486	38663	40727
487	38752	40658
488	38843	40591
489	38967	40558
490	39263	40703
491	39354	40634
492	39520	40642
493	39636	40599
494	39707	40509
495	39799	40441
496	40070	40554
497	40210	40533
498	40284	40446
499	40357	40357
500	40434	40272
501	40500	40177
502	40576	40092
503	40673	40027
504	40742	39935
505	40821	39853
506	40902	39772
507	40976	39685
508	41045	39593
509	41123	39510
510	41208	39434
511	41280	39345
512	41345	39249
513	41397	39142
514	41464	39048
515	41536	38960
516	41613	38876
517	41686	38789
518	41762	38704
519	41828	38610
520	41895	38517
521	41973	38435
522	42051	38352
523	42122	38264
524	42204	38184
525	42279	38099
526	42328	37990
527	42412	37913
528	42466	37810
529	42553	37735
530	42630	37653
531	42735	37594
532	42813	37512
533	42892	37430
534	42964	37342
535	43050	37267
536	43138	37194
537	43204	37101
538	43278	37015
539	43359	36935
540	43413	36832
541	43487	36748
542	43564	36665
543	43625	36568
544	43710	36492
545	43778	36401
546	43844	36309
547	43897	36207
548	43970	36121
549	44045	36037
550	44122	35954
551	44195	35868
552	44290	35801
553	44361	35713
554	44459	35647
555	44518	35550
556	44593	35466
557	44646	35364
558	44721	35280
559	44793	35195
560	44868	35110
561	44935	35020
562	45032	34954
563	45100	34865
564	45178	34783
565	45256	34702
566	45342	34626
567	45430	34552
568	45489	34456
569	45564	34373
570	45639	34289
571	45718	34209
572	45804	34133
573	45881	34051
574	45939	33955
575	46023	33878
576	46088	33787
577	46157	33699
578	46217	33605
579	46297	33525
580	46368	33439
581	46452	33362
582	46547	33293
583	46622	33210
584	46695	33125
585	46769	33042
586	46838	32954
587	46917	32873
588	46987	32787
589	47073	32711
590	47140	32623
591	47234	32553
592	47312	32472
593	47379	32383
594	47461	32305
595	47531	32219
596	47596	32129
597	47673	32047
598	47728	31951
599	47800	31867
600	47848	31766
601	47924	31684
602	48008	31607
603	48081	31523
604	48148	31436
605	48225	31354
606	48295	31268
607	48368	31184
608	48448	31105
609	48503	31010
610	48575	30925
611	48655	30847
612	48749	30776
613	48815	30688
614	48887	30604
615	48965	30523
616	49045	30445
617	49124	30364
618	49223	30297
619	49289	30209
620	49363	30126
621	49431	30040
622	49511	29961
623	49590	29881
624	49661	29797
625	49732	29712
626	49818	29637
627	49902	29559
628	49975	29476
629	50024	29379
630	50107	29302
631	50176	29216
632	50265	29142
633	50339	29060
634	50411	28976
635	50476	28888
636	50557	28810
637	50636	28730
638	50706	28646
639	50798	28574
640	50878	28495
641	50937	28404
642	51019	28326
643	51099	28247
644	51165	28160
645	51239	28078
646	51318	27999
647	51405	27923
648	51489	27846
649	51562	27764
650	51638	27683
651	51714	27602
652	51801	27526
653	51865	27439
654	51943	27359
655	52010	27273
656	52079	27189
657	52157	27109
658	52238	27030
659	52312	26948
660	52376	26861
661	52451	26780
662	52518	26695
663	52607	26620
664	52692	26544
665	52772	26465
666	52838	26379
667	52911	26297
668	52973	26209
669	53050	26129
670	53122	26046
671	53199	25966
672	53286	25890
673	53362	25810
674	53449	25735
675	53522	25652
676	53599	25572
677	53699	25503
678	53768	25419
679	53843	25338
680	53917	25256
681	53986	25172
682	54065	25093
683	54154	25018
684	54235	24940
685	54311	24859
686	54397	24783
687	54483	24707
688	54557	24626
689	54622	24540
690	54703	24462
691	54784	24383
692	54863	24304
693	54951	24229
694	55027	24148
695	55087	24061
696	55176	23986
697	55237	23899
698	55331	23826
699	55432	23756
700	55514	23678
701	55595	23600
702	55676	23521
703	55759	23444
704	55850	23370
705	55932	23292
706	56019	23216
707	56104	23139
708	56179	23058
709	56260	22979
710	56322	22893
711	56394	22811
712	56469	22730
713	56533	22645
714	56622	22569
715	56691	22486
716	56758	22402
717	56840	22324
718	56913	22242
719	56977	22158
720	57048	22075
721	57134	21999
722	57206	21917
723	57286	21838
724	57365	21759
725	57440	21678
726	57519	21599
727	57597	21519
728	57674	21439
729	57748	21359
730	57831	21281
731	57898	21197
732	57975	21118
733	58061	21041
734	58133	20959
735	58203	20877
736	58291	20801
737	58364	20720
738	58450	20643
739	58495	20552
740	58578	20474
741	58666	20399
742	58755	20323
743	58824	20240
744	58912	20164
745	58988	20084
746	59082	20010
747	59164	19932
748	59248	19854
749	59329	19776
750	59422	19701
751	59521	19629
752	59602	19550
753	59676	19470
754	59757	19391
755	59826	19309
756	59887	19224
757	59968	19145
758	60047	19066
759	60130	18988
760	60199	18906
761	60275	18826
762	60371	18752
763	60443	18671
764	60514	18589
765	60596	18511
766	60688	18435
767	60761	18355
768	60847	18277
769	60926	18198
770	61014	18122
771	61089	18042
772	61178	17965
773	61251	17884
774	61317	17801
775	61402	17724
776	61471	17642
777	61563	17567
778	61655	17491
779	61737	17413
780	61796	17328
781	61866	17246
782	61931	17163
783	61993	17079
784	62080	17002
785	62173	16927
786	62243	16846
787	62317	16765
788	62400	16687
789	62452	16601
790	62544	16525
791	62647	16452
792	62726	16373
793	62815	16297
794	62886	16216
795	62952	16133
796	63020	16051
797	63112	15975
798	63184	15895
799	63261	15815
800	63337	15735
801	63411	15655
802	63486	15575
803	63563	15495
804	63639	15415
805	63712	15335
806	63776	15252
807	63849	15172
808	63917	15090
809	64004	15013
810	64077	14932
811	64168	14856
812	64252	14778
813	64323	14698
814	64390	14616
815	64446	14532
816	64504	14448
817	64580	14368
818	64654	14288
819	64737	14210
820	64785	14124
821	64862	14045
822	64936	13965
823	65021	13888
824	65104	13810
825	65181	13730
826	65268	13653
827	65343	13573
828	65405	13491
829	65487	13413
830	65557	13332
831	65596	13245
832	65676	13166
833	65747	13086
834	65847	13011
835	65933	12934
836	66017	12856
837	66081	12774
838	66162	12696
839	66239	12617
840	66336	12541
841	66424	12464
842	66521	12388
843	66611	12312
844	66693	12233
845	66772	12154
846	66854	12076
847	66926	11996
848	67012	11918
849	67081	11837
850	67169	11760
851	67248	11681
852	67335	11604
853	67410	11524
854	67485	11444
855	67532	11360
856	67619	11283
857	67701	11204
858	67773	11124
859	67863	11047
860	67931	10966
861	68001	10886
862	68066	10805
863	68145	10726
864	68213	10646
865	68275	10564
866	68356	10486
867	68430	10406
868	68517	10328
869	68610	10252
