iter	RMSE
138	2548170.778
139	2547328.965
140	2546669.918
141	2545625.192
142	2544688.523
143	2542289.039
144	2541412.12
145	2540543.618
146	2539889.69
147	2538623.902
148	2537930.148
149	2536773.623
150	2535693.516
151	2534600.074
152	2534050.179
153	2533511.019
154	2532996.998
155	2532015.248
156	2531299.968
157	2531253.256
158	2530909.244
159	2530321.633
160	2530055.737
161	2529165.825
162	2528114.131
163	2527201.947
164	2526596.671
165	2525729.195
166	2524791.571
167	2524274.993
168	2523514.417
169	2523027.935
170	2522549.72
171	2521566.574
172	2520772.584
173	2520301.076
174	2519482.97
175	2519245.539
176	2517307.607
177	2516713.93
178	2516150.949
179	2515653.248
180	2514911.016
181	2514117.968
182	2513385.095
183	2512918.759
184	2512495.936
185	2511632.241
186	2511263.301
187	2510719.369
188	2510396.466
189	2509821.088
190	2508632.774
191	2507534.494
192	2506811.981
193	2506249.045
194	2505754.413
195	2503941.366
196	2503372.333
197	2502661.981
198	2502292.687
199	2501400.6
200	2500912.806
201	2499433.76
202	2498925.246
203	2498399.724
204	2497854.099
205	2497517.192
206	2497216.606
207	2497204.567
208	2496609.038
209	2496144.844
210	2494801.675
211	2494124.122
212	2493709.909
213	2493134.439
214	2492700.56
215	2492242.931
216	2491853.543
217	2491649.588
218	2490907.16
219	2490342.836
220	2489755.01
221	2489323.175
222	2488761.443
223	2488417.726
224	2487800.665
225	2486922.258
226	2486608.718
227	2486306.422
228	2485940.617
229	2485385.279
230	2484897.461
231	2484317.479
232	2483879.034
233	2483369.683
234	2482832.059
235	2482247.567
236	2481785.731
237	2481383.11
238	2480729.408
239	2480332.498
240	2479876.588
241	2479504.901
242	2479139.31
243	2478545.908
244	2477863.287
245	2477602.599
246	2477303.972
247	2476832.878
248	2476576.366
249	2476276.638
250	2475941.071
251	2475737.441
252	2475355.659
253	2475015.386
254	2474506.498
255	2474037.246
256	2473548.666
257	2473258.408
258	2472793.215
259	2472501.15
260	2471537.473
261	2471165.475
262	2470911.948
263	2470683.635
264	2470147.874
265	2469846.052
266	2469388.421
267	2468564.982
268	2468218.945
269	2467824.101
270	2467406.563
271	2466694.015
272	2466097.015
273	2465631.238
274	2465426.869
275	2465281.166
276	2464993.202
277	2464243.781
278	2464051.611
279	2463905.653
280	2463567.034
281	2463330.561
282	2463027.437
283	2462858.849
284	2462260.086
285	2461813.322
286	2461272.898
287	2461088.077
288	2460595.927
289	2459957.171
290	2459782.667
291	2459517.875
292	2459440.155
293	2459251.814
294	2458780.376
295	2458334.6
296	2458035.119
297	2457805.745
298	2457365.629
299	2456910.206
300	2456420.802
301	2456393.883
302	2456241.025
303	2455665.551
304	2455397.194
305	2455162.381
306	2454853.01
307	2454449.953
308	2453847.592
309	2453584.035
310	2453290.266
311	2453105.928
312	2452682.932
313	2452384.732
314	2452139.481
315	2451778.457
316	2451318.868
317	2451117.768
318	2450768.881
319	2450558.28
320	2450384.002
321	2450205.512
322	2449974.676
323	2449490.694
324	2449111.145
325	2448830.809
326	2448625.456
327	2448183.978
328	2448048.812
329	2447470.767
330	2447304.656
331	2447098.111
332	2446876.792
333	2446105.425
334	2445723.473
335	2445382.747
336	2445376.262
337	2444958.68
338	2444222.387
339	2443892.818
340	2443618.759
341	2443306.648
342	2442858.863
343	2442325.408
344	2441948.29
345	2441425.713
346	2441089.899
347	2440843.379
348	2440580.002
349	2440413.283
350	2440202.358
351	2439712.409
352	2439348.703
353	2439136.88
354	2438956.095
355	2438858.753
356	2438559.039
357	2438401.414
358	2438225.635
359	2437800.306
360	2437395.077
361	2437210.795
362	2436945.664
363	2436775.469
364	2436440.513
365	2436187.725
366	2435801.397
367	2435482.021
368	2435284.433
369	2435078.823
370	2434706.219
371	2434517.163
372	2434155.816
373	2433939.508
374	2433865.48
375	2433625.443
376	2433192.031
377	2432856.434
378	2432709.716
379	2432356.103
380	2432269.933
381	2432023.65
382	2431594.09
383	2431262.408
384	2430981.449
385	2430828.599
386	2430584.915
387	2430224.41
388	2429980.342
389	2429438.389
390	2429021.971
391	2428961.159
392	2428626.66
393	2428114.066
394	2427795.689
395	2427478.523
396	2427140.276
397	2426961.327
398	2426577.039
399	2426182.367
400	2425738.059
401	2425546.385
402	2425239.094
403	2425068.99
404	2424832.678
405	2424587.166
406	2424583.743
407	2424273.364
408	2423881.45
409	2423745.367
410	2423424.871
411	2423254.626
412	2422980.888
413	2422650.26
414	2422346.822
415	2422032.024
416	2421808.173
417	2421502.573
418	2421329.154
419	2421121.447
420	2420945.638
421	2420802.946
422	2420674.038
423	2420394.456
424	2420292.406
425	2420042.93
426	2419618.129
427	2419514.138
428	2419270.803
429	2418999.126
430	2418823.567
431	2418573.037
432	2417858.075
433	2417653.791
434	2417346.836
435	2416972.003
436	2416538.01
437	2416161.275
438	2415887.659
439	2415558.012
440	2415332.224
441	2414954.272
442	2414623.386
443	2414497.525
444	2414188.87
445	2413959.922
446	2413839.001
447	2413700.89
448	2413348.618
449	2413293.005
450	2413054.818
451	2412682.265
452	2412557.205
453	2412345.302
454	2412085.976
455	2411980.473
456	2411768.836
457	2411534.777
458	2411474.695
459	2411175.127
460	2411043.799
461	2410516.079
462	2410242.342
463	2410040.421
464	2409793.286
465	2409568.086
466	2409169.979
467	2408927.583
468	2408795.723
469	2408548.247
470	2407960.475
471	2407701.448
472	2407525.401
473	2407384.636
474	2407275.234
475	2407116.96
476	2406974.016
477	2406970.524
478	2406617.603
479	2406254.974
480	2405955.936
481	2405655.958
482	2405467.9
483	2405131.597
484	2404997.524
485	2404731.881
486	2404455.689
487	2404227.116
488	2403989.618
489	2403756.42
490	2403444.271
491	2403165.752
492	2402898.279
493	2402631.412
494	2402388.828
495	2402135.36
496	2401673.102
497	2401494.584
498	2401287.548
499	2401074.769
500	2400914.552
501	2400719.036
502	2400433.072
503	2400119.531
504	2399840.868
505	2399459.371
506	2399045.884
507	2398907.159
508	2398653.069
509	2398428.115
510	2398142.4
511	2397911.372
512	2397678.123
513	2397454.651
514	2397217.915
515	2396952.486
516	2396848.505
517	2396630.867
518	2396437.083
519	2396256.108
520	2396127.018
521	2395810.863
522	2395639.622
523	2395410.677
524	2395099.971
525	2394928.914
526	2394922.776
527	2394663.121
528	2394514.227
529	2394305.212
530	2394103.928
531	2393508.887
532	2393340.829
533	2393315.982
534	2393102.79
535	2392863.667
536	2392440.163
537	2392125.428
538	2391911.684
539	2391743.705
540	2391716.834
541	2391449.223
542	2391250.581
543	2391055.786
544	2390853.576
545	2390709.878
546	2390638.943
547	2390603.107
548	2390425.095
549	2390328.953
550	2390158.808
551	2389884.342
552	2389608.768
553	2389516.134
554	2389232.244
555	2389137.552
556	2389064.507
557	2388953.906
558	2388922.211
559	2388731.624
560	2388432.602
561	2388400.398
562	2387771.29
563	2387601.093
564	2387188.162
565	2386867.013
566	2386552.46
567	2386107.212
568	2385947.679
569	2385618.635
570	2385304.651
571	2384737.034
572	2384574.344
573	2384450.35
574	2384310.489
575	2384140.217
576	2384116.616
577	2383928.806
578	2383697.936
579	2383422.009
580	2383240.103
581	2383163.37
582	2383023.201
583	2382758.676
584	2382676.971
585	2382245.21
586	2382034.979
587	2381814.071
588	2381418.901
589	2381253.144
590	2381148.121
591	2380932.474
592	2380621.38
593	2380474.799
594	2380185.709
595	2380028.366
596	2379875.913
597	2379751.085
598	2379614.383
599	2379424.727
600	2379308.671
601	2379124.437
602	2378908.458
603	2378704.416
604	2378606.085
605	2378430.385
606	2378209.728
607	2378052.484
608	2378006.921
609	2377912.718
610	2377836.911
611	2377526.296
612	2377407.817
613	2377302.096
614	2377143.56
615	2376907.046
616	2376691.484
617	2376559.115
618	2376292.641
619	2376174.286
620	2375896.518
621	2375628.585
622	2375397.571
623	2375324.958
624	2375099.757
625	2374945.696
626	2374631.483
627	2374524.621
628	2374369.444
629	2374268.25
630	2374082.519
631	2373966.818
632	2373643.002
633	2373532.214
634	2373214.471
635	2373157.437
636	2372926.577
637	2372806.184
638	2372664.763
639	2372444.533
640	2372295.98
641	2372277.182
642	2372126.58
643	2372075.005
644	2371974.571
645	2371806.352
646	2371648.765
647	2371527.335
648	2371312.024
649	2371144.866
650	2371064.306
651	2370818.188
652	2370596.033
653	2370478.489
654	2370309.567
655	2370218.98
656	2370116.548
657	2369977.7
658	2369720.901
659	2369517.698
660	2369461.032
661	2369148.611
662	2369050.105
663	2368800.205
664	2368551.983
665	2368414.813
666	2368163.067
667	2368054.398
668	2367866.305
669	2367733.721
670	2367363.237
671	2367202.368
672	2366966.63
673	2366733.679
674	2366615.909
675	2366333.348
676	2366269.954
677	2365843.961
678	2365787.413
679	2365577.044
680	2365484.65
681	2365387.992
682	2365315.369
683	2365131.315
684	2364851.557
685	2364778.594
686	2364525.014
687	2364070.731
688	2363931.336
689	2363788.265
690	2363626.467
691	2363409.157
692	2363326.366
693	2363158.578
694	2362967.382
695	2362844.671
696	2362588.269
697	2362525.276
698	2362232.937
699	2362015.421
700	2361792.47
701	2361643.463
702	2361501.228
703	2361438.643
704	2361297.241
705	2361070.868
706	2360845.611
707	2360651.546
708	2360515.32
709	2360395.716
710	2360236.872
711	2360164.851
712	2360044.82
713	2359916.584
714	2359765.286
715	2359326.232
716	2359213.313
717	2359014.369
718	2358707.701
719	2358363.512
720	2358213.128
721	2358095.004
722	2358005.487
723	2357867.263
724	2357623.98
725	2357393.692
726	2357147.062
727	2356975.056
728	2356810.932
729	2356707.903
730	2356291.848
731	2356067.5
732	2355976.679
733	2355826.859
734	2355692.164
735	2355602.113
736	2355427.116
737	2355328.413
738	2355076.889
739	2354922.757
740	2354678.135
741	2354496.612
742	2354274.427
743	2354090.38
744	2354015.467
745	2353847.26
746	2353556.393
747	2353397.683
748	2353263.232
749	2353171.727
750	2352947.632
751	2352695.792
752	2352596.613
753	2352515.343
754	2352393.517
755	2352231.636
756	2352040.426
757	2351902.181
758	2351754.133
759	2351613.443
760	2351498.528
761	2351338.751
762	2350922.657
763	2350751.898
764	2350667.523
765	2350430.785
766	2350300.698
767	2350190.118
768	2349912.535
769	2349761.139
770	2349577.805
771	2349541.48
772	2349368.708
773	2349294.8
774	2349228.07
775	2348916.793
776	2348789.08
777	2348586.176
778	2348299.248
779	2348262.426
780	2348153.023
781	2348019.267
782	2347789.282
783	2347685.853
784	2347559.345
785	2347327.644
786	2347244.901
787	2347003.96
788	2346836.68
789	2346759.997
790	2346673.304
791	2346518.132
792	2346308.341
793	2346068.485
794	2345957.154
795	2345863.95
796	2345779.881
797	2345698.373
798	2345589.297
799	2345308.643
800	2345124.55
801	2345021.89
802	2344851.65
803	2344686.171
804	2344387.237
805	2344191.621
806	2344150.317
807	2343963.655
808	2343695.351
809	2343593.921
810	2343486.23
811	2343271.916
812	2343071.248
813	2342868.078
814	2342787.822
815	2342726.864
816	2342694.766
817	2342557.476
818	2342509.103
819	2342395.531
820	2342393.828
821	2342223.709
822	2342026.238
823	2341820.569
824	2341766.52
825	2341618.953
826	2341523.861
827	2341443.539
828	2341373.852
829	2341263.721
830	2341054.207
831	2341050.222
832	2340793.022
833	2340728.537
834	2340372.222
835	2340109.388
836	2339836.503
837	2339782.523
838	2339595.779
839	2339505.969
840	2339026.686
841	2338802.472
842	2338605.346
843	2338486.343
844	2338417.445
845	2338166.573
846	2337881.581
847	2337807.793
848	2337695.573
849	2337375.872
850	2337113.651
851	2336989.099
852	2336836.364
853	2336624.164
854	2336554.037
855	2336475.991
856	2336323.23
857	2336186.47
858	2336007.482
859	2335853.555
860	2335722.508
861	2335650.308
862	2335598.09
863	2335387.2
864	2335133.143
865	2335101.91
866	2334939.491
867	2334896.097
868	2334683.544
869	2334558.444
870	2334442.087
871	2334145.123
872	2333942.238
873	2333853.28
874	2333670.225
875	2333566.923
876	2333366.476
877	2333276.215
878	2333215.047
879	2333130.193
880	2332878.974
881	2332713.675
882	2332392.951
883	2332283.454
884	2332041.115
885	2331870.697
886	2331689.354
887	2331603.017
888	2331533.108
889	2331332.244
890	2331124.037
891	2330998.391
892	2330893.311
893	2330781.026
894	2330719.923
895	2330504.901
896	2330392.635
897	2330169.281
898	2330048.809
899	2329926.316
900	2329694.453
901	2329499.139
902	2329252.522
903	2329059.031
904	2328975.476
905	2328921.414
906	2328713.547
907	2328470.039
908	2328309.574
909	2328084.993
910	2328004.66
911	2327901.511
912	2327656.547
913	2327464.553
914	2327279.685
915	2327233.239
916	2327166.742
917	2326962.965
918	2326917.145
919	2326765.513
920	2326695.488
921	2326584.635
922	2326531.882
923	2326417.876
924	2326219.909
925	2326154.502
926	2326097.77
927	2325960.975
928	2325844.395
929	2325679.913
930	2325527.883
931	2325479.099
932	2325383.045
933	2325313.223
934	2325273.417
935	2325140.962
936	2325014.438
937	2324909.449
938	2324827.396
939	2324657.182
940	2324492.196
941	2324434.847
942	2324250.049
943	2324162.735
944	2324021.962
945	2323751.321
946	2323641.612
947	2323385.297
948	2323279.465
949	2323149.552
950	2323072.127
951	2322836.904
952	2322625.466
953	2322519.2
954	2322399.818
955	2322214.119
956	2322058.714
957	2321948.826
958	2321794.989
959	2321730.387
960	2321608.879
961	2321522.523
962	2321366.798
963	2321270.531
964	2321167.034
965	2321018.731
966	2320903.098
967	2320717.492
968	2320681.245
969	2320556.597
970	2320499.256
971	2320397.483
972	2320252.235
973	2320065.019
974	2319972.887
975	2319942.982
976	2319812.611
977	2319764.978
978	2319567.937
979	2319464.027
980	2319244.34
981	2319142.8
982	2319108.965
983	2318869.133
984	2318720.3
985	2318614.474
986	2318492.73
987	2318380.791
988	2318263.357
989	2318165.156
990	2318042.204
991	2318010.046
992	2317851.445
993	2317764.097
994	2317569.089
995	2317459.154
996	2317298.267
997	2317148.058
998	2316926.615
999	2316840.19
