iter	Passed	Remaining
382	395240	223935
383	396266	222899
384	397296	221866
385	398326	220834
386	399372	219809
387	400411	218781
388	401452	217754
389	402489	216725
390	403526	215695
391	404553	214660
392	405595	213634
393	406635	212606
394	407765	211625
395	408812	210600
396	409826	209558
397	410851	208522
398	411866	207481
399	412876	206438
400	413929	205416
401	414967	204386
402	416013	203361
403	417046	202329
404	418073	201294
405	419095	200257
406	420109	199216
407	421139	198183
408	422155	197143
409	423194	196114
410	424254	195095
411	425303	194070
412	426324	193033
413	427346	191996
414	428354	190953
415	429394	189924
416	430429	188893
417	431455	187858
418	432478	186822
419	433520	185794
420	434548	184760
421	435573	183725
422	436606	182693
423	437632	181658
424	438677	180631
425	439718	179603
426	440766	178577
427	441813	177551
428	442860	176524
429	443905	175497
430	444948	174469
431	446005	173446
432	447042	172415
433	448068	171380
434	449111	170352
435	450140	169319
436	451184	168290
437	452219	167259
438	453254	166227
439	454274	165190
440	455298	164155
441	456318	163118
442	457343	162083
443	458337	161037
444	459357	160000
445	460373	158963
446	461382	157922
447	462391	156882
448	463412	155846
449	464421	154807
450	465433	153768
451	466453	152732
452	467513	151709
453	468528	150672
454	469539	149633
455	470541	148592
456	471543	147550
457	472550	146511
458	473570	145476
459	474625	144451
460	475687	143428
461	476737	142402
462	477795	141377
463	478846	140351
464	479900	139326
465	480938	138295
466	481967	137262
467	483013	136234
468	484065	135208
469	485113	134180
470	486156	133151
471	487190	132119
472	488224	131087
473	489280	130061
474	490324	129032
475	491371	128004
476	492411	126973
477	493445	125942
478	494483	124911
479	495525	123881
480	496556	122848
481	497611	121821
482	498666	120795
483	499705	119764
484	500745	118733
485	501796	117705
486	502845	116676
487	503882	115645
488	504942	114618
489	505986	113588
490	507028	112558
491	508069	111527
492	509105	110495
493	510140	109463
494	511186	108433
495	512211	107399
496	513239	106365
497	514260	105330
498	515307	104300
499	516328	103265
500	517358	102232
501	518363	101194
502	519387	100160
503	520395	99122
504	521392	98083
505	522391	97045
506	523391	96006
507	524391	94968
508	525387	93929
509	526392	92892
510	527430	91861
511	528456	90828
512	529444	89788
513	530443	88751
514	531456	87716
515	532456	86679
516	533472	85644
517	534506	84613
518	535548	83582
519	536591	82552
520	537616	81519
521	538650	80488
522	539673	79454
523	540714	78424
524	541746	77392
525	542771	76359
526	543811	75328
527	544845	74297
528	545883	73266
529	546916	72234
530	547961	71204
531	548995	70172
532	550035	69141
533	551077	68110
534	552110	67078
535	553148	66047
536	554173	65014
537	555209	63983
538	556261	62953
539	557292	61921
540	558318	60888
541	559357	59857
542	560383	58824
543	561428	57794
544	562457	56761
545	563486	55729
546	564535	54699
547	565602	53670
548	566637	52638
549	567674	51606
550	568701	50574
551	569735	49542
552	570781	48511
553	571823	47479
554	572856	46447
555	573892	45415
556	574909	44382
557	575905	43347
558	576919	42314
559	577926	41280
560	578943	40247
561	579938	39212
562	580932	38178
563	581931	37144
564	582935	36111
565	583960	35078
566	584950	34044
567	585949	33011
568	586972	31979
569	588047	30949
570	589064	29917
571	590085	28885
572	591100	27852
573	592118	26820
574	593135	25788
575	594180	24757
576	595227	23726
577	596278	22695
578	597324	21664
579	598382	20633
580	599442	19603
581	600478	18571
582	601520	17540
583	602554	16508
584	603587	15476
585	604641	14445
586	605682	13413
587	606716	12381
588	607757	11350
589	608810	10318
590	609847	9287
591	610877	8255
592	611911	7223
593	612942	6191
594	613975	5159
595	615007	4127
596	616049	3095
597	617098	2063
598	618136	1031
599	619181	0
