iter	MAE
272	1733185.003
273	1732370.272
274	1731907.593
275	1731109.615
276	1730094.674
277	1729611.167
278	1729052.38
279	1727768.939
280	1726594.932
281	1725981.755
282	1724970.572
283	1724229.928
284	1723571.239
285	1722862.522
286	1722148.958
287	1721225.519
288	1720252.929
289	1719544.04
290	1718906.456
291	1717978.893
292	1717413.609
293	1716995.58
294	1716453.655
295	1716198.635
296	1715637.481
297	1715191.637
298	1714689.531
299	1713989.412
300	1713556.627
301	1712535.653
302	1711909.802
303	1711243.4
304	1710404.291
305	1709818.177
306	1708799.419
307	1708009.138
308	1706980.925
309	1706107.214
310	1705441.067
311	1704585.213
312	1704083.763
313	1703598.622
314	1702890.711
315	1702260.505
316	1701344.691
317	1700250.023
318	1699866.913
319	1699021.164
320	1698543.885
321	1697980.124
322	1697381.129
323	1696811.447
324	1696128.798
325	1695366.291
326	1694404.096
327	1693545.599
328	1692804.276
329	1691882.043
330	1691151.107
331	1690513.999
332	1690042.082
333	1689448.244
334	1688602.474
335	1687978.796
336	1687218.745
337	1686626.602
338	1685905.203
339	1685648.108
340	1684999.997
341	1684097.385
342	1683490.634
343	1682592.162
344	1681504.299
345	1680778.363
346	1680196.48
347	1679679.838
348	1679026.39
349	1678435.404
350	1678110.639
351	1677906.876
352	1677263.265
353	1676508.98
354	1675980.848
355	1675467.424
356	1674711.861
357	1674213.936
358	1673635.787
359	1672830.993
360	1672122.678
361	1671542.607
362	1670846.604
363	1670255.539
364	1669677.928
365	1669229.484
366	1668818.627
367	1668052.837
368	1667353.19
369	1666722.142
370	1666305.484
371	1665716.518
372	1665515.14
373	1664796.422
374	1664366.26
375	1663408.186
376	1662893.582
377	1662542.304
378	1662212.24
379	1661598.667
380	1660769.328
381	1660110.574
382	1659397.276
383	1658858.51
384	1658533.139
385	1658084.499
386	1657339.961
387	1656810.899
388	1655956.895
389	1655106.985
390	1654170.758
391	1653834.792
392	1653164.036
393	1652666.828
394	1652070.257
395	1651316.533
396	1650964.304
397	1650565.419
398	1650306.692
399	1649533.551
400	1648757.147
401	1648418.018
402	1647664.326
403	1646986.242
404	1646515.837
405	1646090.028
406	1645808.122
407	1644955.887
408	1644556.165
409	1644070.502
410	1643444.022
411	1642633.569
412	1642326.449
413	1641882.299
414	1641518.176
415	1640895.415
416	1640326.388
417	1640079.355
418	1639568.52
419	1638739.663
420	1638017.91
421	1637368.868
422	1636840
423	1636430.566
424	1635827.763
425	1634994.212
426	1634656.853
427	1634079.698
428	1633611.735
429	1632939.95
430	1632687.376
431	1631648.436
432	1631144.473
433	1630683.631
434	1630219.635
435	1629801.294
436	1629447.823
437	1629021.878
438	1628767.73
439	1628557.911
440	1627974.843
441	1627213.79
442	1626377.32
443	1625915.504
444	1625170.926
445	1624553.07
446	1624179.716
447	1623688.213
448	1622587.488
449	1622021.549
450	1621610.481
451	1620731.439
452	1620148.434
453	1619777.29
454	1619151.732
455	1618483.633
456	1618187.997
457	1617392.499
458	1617056.278
459	1616582.964
460	1615847.236
461	1615396.371
462	1614803.27
463	1614111.307
464	1613215.951
465	1612872.098
466	1612608.545
467	1612244.212
468	1611354.458
469	1610731.804
470	1610169.888
471	1609873.312
472	1608954.878
473	1608253.049
474	1607628.718
475	1607364.582
476	1607020.986
477	1606675.454
478	1606105.639
479	1605407.69
480	1604940.637
481	1604084.413
482	1603057.729
483	1602499.494
484	1602105.177
485	1601219.252
486	1600753.795
487	1600280.481
488	1599824.229
489	1599345.932
490	1598768.899
491	1597939.441
492	1597724.71
493	1597384.964
494	1596888.317
495	1596576.432
496	1596287.507
497	1596024.18
498	1595451.554
499	1594858.643
500	1594388.721
501	1593846.782
502	1593291.911
503	1592854.728
504	1592204.307
505	1591925.454
506	1591555.103
507	1591186.805
508	1590839.81
509	1590498.291
510	1590087.606
511	1589539.667
512	1589146.334
513	1588508.755
514	1587748.332
515	1587189.938
516	1586774.376
517	1586379.985
518	1585673.588
519	1584868.082
520	1584376.416
521	1583709.395
522	1583413.905
523	1582942.268
524	1582542.089
525	1582065.141
526	1581330.736
527	1580950.824
528	1580532.396
529	1580113.305
530	1579660.176
531	1579375.972
532	1578874.4
533	1578522.456
534	1578096.744
535	1577814.419
536	1577452.859
537	1577039.747
538	1576348.166
539	1576099.646
540	1575805.764
541	1575490.425
542	1575124.808
543	1574802.688
544	1574358.651
545	1573941.234
546	1573447.594
547	1572634.52
548	1572369.245
549	1571907.844
550	1571529.528
551	1571278.395
552	1570636.159
553	1570134.855
554	1569771.481
555	1569298.714
556	1568918.242
557	1568654.15
558	1568338.35
559	1567648.463
560	1566968.405
561	1566268.008
562	1565867.357
563	1565546.974
564	1565022.677
565	1564593.817
566	1564158.667
567	1563647.84
568	1563018.711
569	1562689.869
570	1562180.553
571	1561475.27
572	1561129.631
573	1560615.647
574	1560157.996
575	1559804.587
576	1559369.041
577	1558751.518
578	1558070.066
579	1557677.202
580	1557086.921
581	1556323.27
582	1555919.899
583	1555369.783
584	1554660.094
585	1554030.325
586	1553687.026
587	1552955.136
588	1552523.681
589	1551809.438
590	1551132.316
591	1550467.121
592	1550152.543
593	1549696.446
594	1549232.322
595	1548855.168
596	1548353.39
597	1547748.314
598	1547213.653
599	1546655.189
